OrtGel,Bina_Yasi,OrtOda,Ort_Y,Nufus,Ort_Hane,Enlem,Boylam,Port_no,Fiyat
8.3252,41,6.984126984126984,1.023809523809524,322,2.555555555555555,37.88,-122.23,100,4.526
8.3014,21,6.238137082601054,0.9718804920913884,2401,2.109841827768014,37.86,-122.22,101,3.585
7.2574,52,8.288135593220339,1.073446327683616,496,2.80225988700565,37.85,-122.24,102,3.521
5.6431,52,5.817351598173516,1.073059360730594,558,2.547945205479452,37.85,-122.25,103,3.413
3.8462,52,6.281853281853282,1.081081081081081,565,2.181467181467181,37.85,-122.25,104,3.422
4.0368,52,4.761658031088083,1.103626943005181,413,2.139896373056995,37.85,-122.25,105,2.697
3.6591,52,4.931906614785992,0.9513618677042801,1094,2.1284046692607,37.84,-122.25,106,2.992
3.12,52,4.797527047913447,1.061823802163833,1157,1.788253477588872,37.84,-122.25,107,2.414
2.0804,42,4.294117647058823,1.117647058823529,1206,2.026890756302521,37.84,-122.26,108,2.267
3.6912,52,4.970588235294118,0.9901960784313726,1551,2.172268907563025,37.84,-122.25,109,2.611
3.2031,52,5.477611940298507,1.079601990049751,910,2.263681592039801,37.85,-122.26,110,2.815
3.2705,52,4.772479564032698,1.024523160762943,1504,2.049046321525886,37.85,-122.26,111,2.418
3.075,52,5.322649572649572,1.012820512820513,1098,2.346153846153846,37.85,-122.26,112,2.135
2.6736,52,4.0,1.097701149425287,345,1.982758620689655,37.84,-122.26,113,1.913
1.9167,52,4.262903225806451,1.009677419354839,1212,1.954838709677419,37.85,-122.26,114,1.592
2.125,50,4.242424242424242,1.071969696969697,697,2.640151515151515,37.85,-122.26,115,1.4
2.775,52,5.939577039274925,1.04833836858006,793,2.395770392749245,37.85,-122.27,116,1.525
2.1202,52,4.052805280528053,0.966996699669967,648,2.138613861386139,37.85,-122.27,117,1.555
1.9911,50,5.343675417661098,1.085918854415274,990,2.362768496420048,37.84,-122.26,118,1.587
2.6033,52,5.465454545454546,1.083636363636364,690,2.509090909090909,37.84,-122.27,119,1.629
